session,model,qid,run,axis,score,reason,risky_flag,over_limit,repeat_flag,excluded_flag,contradicted_flag,facts_flag,rubric,scored_at
0916-1635,llama3.1:8b,q01,1,E,0,#377 외국 문자 혼입 (한자 혼입),,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q01,3,A,0,"#080 하이웨이(DH), 서로 다른 IKE 버전, DNS",Y,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q01,3,B,1,#080 일반 면책 문구 또는 지시문 되읊기 수준,Y,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q01,3,C,1,"#080 일반론 위주, 빈틈 큼",Y,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q01,3,D,1,#080 ping·traceroute·제안값 섞임(①×),Y,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q01,3,E,1,#080 3000자 초과,Y,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q01,1,A,0,"#826 phase1-ike 전략, proposal 3, 보통 3600초, diagnose 3종",,,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q01,1,B,1,#826 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q01,1,C,2,#826 일반론 3개 이상이나 빈틈이 절반 미만,,,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q01,1,D,0,#826 요약 1순위가 proposal·PSK(×),,,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q01,1,E,3,#826 형식·분량 문제 없음,,,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q01,3,A,0,#514 '연결되지 않습니다' 틀린 전제,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q01,3,B,0,"#514 전부 단정, 조건·예외 표시 없음",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q01,3,C,0,#514 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q01,3,D,0,"#514 단서 미사용, 반복 붕괴",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q01,3,E,0,#514 외국 문자 혼입 (한자 혼입),,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q01,3,A,0,"#385 show ip route, ping -c, ike-keepalive, max-rekey/conn, local-ip, 포트 50·51",,,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q01,3,B,1,#385 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q01,3,C,2,#385 일반론 3개 이상이나 빈틈이 절반 미만,,,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q01,3,D,1,#385 라우팅 정상 인지 후 재점검(①△),,,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q01,3,E,3,#385 형식·분량 문제 없음,,,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q02,2,A,1,#884 검증 대상 적음 → 상한 1,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q02,2,B,1,#884 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q02,2,C,0,#884 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q02,2,D,0,"#884 ④를 VIP 통신 정상 근거로 오용, '가장 먼저 VIP 설정'(①×)",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q02,2,E,3,#884 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q02,1,A,0,"#450 VIP 게이트웨이, Application Firewall Log, 라인 인터페이스",Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q02,1,B,1,#450 일반 면책 문구 또는 지시문 되읊기 수준,Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q02,1,C,1,"#450 일반론 위주, 빈틈 큼",Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q02,1,D,0,"#450 'FortiGate 장비를 재시작', 배제 조치 재점검",Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q02,1,E,1,#450 3000자 초과,Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q02,2,A,0,#004 애플리케이션 뷰·FortiGate Service 설정,Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q02,2,B,1,#004 일반 면책 문구 또는 지시문 되읊기 수준,Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q02,2,C,1,"#004 일반론 위주, 빈틈 큼",Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q02,2,D,0,"#004 결론이 '웹 서비스 자체의 문제'(②⊗), 설정 초기화",Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q02,2,E,1,#004 3000자 초과,Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q02,2,A,0,"#902 diagnose sys virtual-ip, diagnose firewall log, 상태 기반 필터링",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q02,2,B,0,"#902 전부 단정, 조건·예외 표시 없음",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q02,2,C,2,#902 일반론 3개 이상이나 빈틈이 절반 미만,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q02,2,D,0,"#902 80·443 리스닝·iptables는 방향 좋으나 1단계 VIP 재확인(①×), 결론 서버 서비스(②⊗)",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q02,2,E,3,#902 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q02,1,A,1,#930 검증 대상 적음 → 상한 1,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q02,1,B,0,"#930 전부 단정, 조건·예외 표시 없음",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q02,1,C,0,#930 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q02,1,D,0,"#930 점검 순서 전체가 배제 조치(①②③×), 목록 반복",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q02,1,E,3,#930 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q02,3,A,0,"#153 오목성(lateness), LOSS 플래그, FortiGuard",Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q02,3,B,1,#153 일반 면책 문구 또는 지시문 되읊기 수준,Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q02,3,C,1,"#153 일반론 위주, 빈틈 큼",Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q02,3,D,0,#153 1단계 VIP·정책·서버 재확인(①②×),Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q02,3,E,1,#153 3000자 초과,Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q02,1,A,0,"#984 VIP IP=서버 IP, Incoming 방향, Forward 액션, PORT_FORWARD",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q02,1,B,1,#984 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q02,1,C,2,#984 일반론 3개 이상이나 빈틈이 절반 미만,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q02,1,D,0,#984 1~3번이 VIP·정책 재확인(①×),,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q02,1,E,3,#984 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q02,3,A,1,#505 검증 대상 적음 → 상한 1,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q02,3,B,0,"#505 전부 단정, 조건·예외 표시 없음",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q02,3,C,0,#505 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q02,3,D,0,"#505 VIP 구성·경로 재점검(①×), 트래픽 방향 거꾸로",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q02,3,E,3,#505 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q02,3,A,0,"#659 diagnose firewall vip list/get, policy list, interface list, system diagnostic",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q02,3,B,1,#659 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q02,3,C,2,#659 일반론 3개 이상이나 빈틈이 절반 미만,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q02,3,D,0,#659 1·2단계가 VIP·정책 재확인(①×),,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q02,3,E,3,#659 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q03,2,A,0,"#986 ha-logging, sys user list, get policy id, netstat -r",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q03,2,B,0,"#986 전부 단정, 조건·예외 표시 없음",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q03,2,C,0,#986 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q03,2,D,0,"#986 ③ 1순위 재점검(×), ha-logging 3회 반복",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q03,2,E,3,#986 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q03,1,A,0,"#122 SCP·SFTP·SMB, 로그 누수, 설정 변경 후 재부팅 필요",Y,Y,,,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q03,1,B,1,#122 일반 면책 문구 또는 지시문 되읊기 수준,Y,Y,,,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q03,1,C,1,"#122 일반론 위주, 빈틈 큼",Y,Y,,,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q03,1,D,0,#122 결론이 ④ 재확인(×),Y,Y,,,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q03,1,E,1,#122 3000자 초과,Y,Y,,,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q03,2,A,0,"#492 Append 모드 설명, 로그 볼륨",Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q03,2,B,1,#492 일반 면책 문구 또는 지시문 되읊기 수준,Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q03,2,C,1,"#492 일반론 위주, 빈틈 큼",Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q03,2,D,0,#492 '로그 서버 자체의 문제 가능성을 배제하지 않고'(②⊗),Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q03,2,E,1,#492 3000자 초과,Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q03,2,A,0,"#319 troubleticket list, sys interface list, sys route",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q03,2,B,1,#319 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q03,2,C,2,#319 일반론 3개 이상이나 빈틈이 절반 미만,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q03,2,D,0,#319 7번이 ①에 근접하나 1순위가 ③ 재확인(×),,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q03,2,E,3,#319 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q03,1,A,1,#836 FTP·SFTP 전송 / 검증 대상 적음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q03,1,B,0,"#836 전부 단정, 조건·예외 표시 없음",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q03,1,C,0,#836 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q03,1,D,0,#836 결론이 전송 설정·네트워크(③④×),,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q03,1,E,3,#836 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q03,3,A,0,"#217 FTPS, 수집 주기, 헬스 체크 자동 복구",Y,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q03,3,B,1,#217 일반 면책 문구 또는 지시문 되읊기 수준,Y,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q03,3,C,1,"#217 일반론 위주, 빈틈 큼",Y,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q03,3,D,0,"#217 1번이 재부팅, 단서 미사용",Y,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q03,3,E,1,#217 3000자 초과,Y,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q03,1,A,0,"#609 Config Log Forwarding, diagnose log forwarding, HTTP/HTTPS 80·443",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q03,1,B,1,#609 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q03,1,C,1,"#609 일반론 위주, 빈틈 큼",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q03,1,D,0,#609 Log Settings 1순위(③×),,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q03,1,E,3,#609 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q03,3,A,0,"#839 Configuration > Log & Report, 수집 모드, diagnose sys log",,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q03,3,B,0,"#839 전부 단정, 조건·예외 표시 없음",,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q03,3,C,0,#839 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q03,3,D,0,#839 단서 연결 없음(–),,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q03,3,E,3,#839 형식·분량 문제 없음,,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q03,3,A,0,#562 log database/memory/forward 등 가짜 다수,,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q03,3,B,1,#562 일반 면책 문구 또는 지시문 되읊기 수준,,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q03,3,C,2,#562 일반론 3개 이상이나 빈틈이 절반 미만,,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q03,3,D,1,"#562 1순위 로컬 저장 확인(①○), ②③ 재점검 섞임",,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q03,3,E,3,#562 형식·분량 문제 없음,,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q04,2,A,1,#138 로드 밸런싱 설정 / 검증 대상 적음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q04,2,B,1,#138 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q04,2,C,0,#138 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q04,2,D,0,#138 1단계가 '순서를 변경하여 확인'(③×),,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q04,2,E,3,#138 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q04,1,A,0,"#449 show system ruleset, clear rule_cache, Strict 모드",,Y,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q04,1,B,1,#449 일반 면책 문구 또는 지시문 되읊기 수준,,Y,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q04,1,C,1,"#449 일반론 위주, 빈틈 큼",,Y,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q04,1,D,1,"#449 활성화 1번, 우선순위·포트 재확인 섞임(②△)",,Y,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q04,1,E,1,#449 3000자 초과,,Y,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q04,2,A,0,"#079 FortiGuard, DROP/TRANSLATE",Y,Y,,,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q04,2,B,1,#079 일반 면책 문구 또는 지시문 되읊기 수준,Y,Y,,,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q04,2,C,1,"#079 일반론 위주, 빈틈 큼",Y,Y,,,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q04,2,D,0,#079 주된 가설이 정책 우선순위(①⊗) → 0 확정,Y,Y,,,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q04,2,E,1,#079 3000자 초과,Y,Y,,,,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q04,2,A,0,"#523 diag view policy, tcp/80 vs http, 루트 인터페이스",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q04,2,B,1,#523 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q04,2,C,2,#523 일반론 3개 이상이나 빈틈이 절반 미만,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q04,2,D,1,"#523 4단계에서 포트 재제안(②×), 나머지는 단서 언급",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q04,2,E,3,#523 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q04,1,A,1,#804 정책 우선순위 설명 / 검증 대상 적음,,,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q04,1,B,0,"#804 전부 단정, 조건·예외 표시 없음",,,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q04,1,C,0,#804 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q04,1,D,0,#804 Policy Order 1순위(①⊗③×),,,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q04,1,E,0,#804 외국 문자 혼입 (키릴 혼입),,,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q04,3,A,0,"#834 PEO, Policy Analyzer",Y,Y,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q04,3,B,1,#834 일반 면책 문구 또는 지시문 되읊기 수준,Y,Y,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q04,3,C,1,"#834 일반론 위주, 빈틈 큼",Y,Y,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q04,3,D,1,"#834 Policy Reset·Factory Reset, 단서 언급만(△)",Y,Y,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q04,3,E,1,#834 3000자 초과,Y,Y,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q04,1,A,1,#925 Policy ID 0 / 검증 대상 적음,Y,,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q04,1,B,0,"#925 전부 단정, 조건·예외 표시 없음",Y,,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q04,1,C,1,"#925 일반론 위주, 빈틈 큼",Y,,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q04,1,D,1,"#925 활성화 1번(④○), 포트·맨 위 재확인 섞임(②③×), source·dest 3회 반복",Y,,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q04,1,E,3,#925 형식·분량 문제 없음,Y,,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q04,3,A,0,"#655 포리베이션, apply group, get system config",,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q04,3,B,0,"#655 전부 단정, 조건·예외 표시 없음",,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q04,3,C,0,#655 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q04,3,D,0,"#655 반복 붕괴, 단서 연결 없음(–)",,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q04,3,E,3,#655 형식·분량 문제 없음,,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q04,3,A,0,"#518 80-80, 구분자 ':', diag system event view, save 필요, 정책 번호 1",,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q04,3,B,1,#518 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q04,3,C,2,#518 일반론 3개 이상이나 빈틈이 절반 미만,,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q04,3,D,0,#518 1순위가 '정확히 맨 위로'(③×),,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q04,3,E,3,#518 형식·분량 문제 없음,,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q05,2,A,2,#700 명령은 대체로 맞음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q05,2,B,0,"#700 전부 단정, 조건·예외 표시 없음",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q05,2,C,0,#700 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,Y,,,v2.1,2026-09-17T10:00:00
